DATE,NAME,INJECTION_VOLUME,SECTOR,ZONE,SUBZONE,WELL_TYPE
03/12/2015,I1,285.00285,1,WARA,WARA1,Injector
04/12/2015,I1,285.00285,1,WARA,WARA1,Injector
05/12/2015,I1,285.00285,1,WARA,WARA1,Injector
06/12/2015,I1,285.00285,1,WARA,WARA1,Injector
07/12/2015,I1,285.00285,1,WARA,WARA1,Injector
08/12/2015,I1,285.00285,1,WARA,WARA1,Injector
09/12/2015,I1,285.00285,1,WARA,WARA1,Injector
10/12/2015,I1,285.00285,1,WARA,WARA1,Injector
11/12/2015,I1,285.00285,1,WARA,WARA1,Injector
12/12/2015,I1,285.00285,1,WARA,WARA1,Injector
13/12/2015,I1,285.00285,1,WARA,WARA1,Injector
14/12/2015,I1,285.00285,1,WARA,WARA1,Injector
15/12/2015,I1,285.00285,1,WARA,WARA1,Injector
16/12/2015,I1,285.00285,1,WARA,WARA1,Injector
17/12/2015,I1,285.00285,1,WARA,WARA1,Injector
18/12/2015,I1,285.00285,1,WARA,WARA1,Injector
19/12/2015,I1,285.00285,1,WARA,WARA1,Injector
20/12/2015,I1,285.00285,1,WARA,WARA1,Injector
21/12/2015,I1,285.00285,1,WARA,WARA1,Injector
22/12/2015,I1,285.00285,1,WARA,WARA1,Injector
23/12/2015,I1,285.00285,1,WARA,WARA1,Injector
24/12/2015,I1,285.00285,1,WARA,WARA1,Injector
25/12/2015,I1,285.00285,1,WARA,WARA1,Injector
26/12/2015,I1,285.00285,1,WARA,WARA1,Injector
27/12/2015,I1,285.00285,1,WARA,WARA1,Injector
28/12/2015,I1,285.00285,1,WARA,WARA1,Injector
29/12/2015,I1,285.00285,1,WARA,WARA1,Injector
30/12/2015,I1,285.00285,1,WARA,WARA1,Injector
31/12/2015,I1,285.00285,1,WARA,WARA1,Injector
01/01/2016,I1,285.00285,1,WARA,WARA1,Injector
02/01/2016,I1,555.00555,1,WARA,WARA1,Injector
03/01/2016,I1,555.00555,1,WARA,WARA1,Injector
04/01/2016,I1,555.00555,1,WARA,WARA1,Injector
05/01/2016,I1,555.00555,1,WARA,WARA1,Injector
06/01/2016,I1,555.00555,1,WARA,WARA1,Injector
07/01/2016,I1,555.00555,1,WARA,WARA1,Injector
08/01/2016,I1,555.00555,1,WARA,WARA1,Injector
09/01/2016,I1,555.00555,1,WARA,WARA1,Injector
10/01/2016,I1,555.00555,1,WARA,WARA1,Injector
11/01/2016,I1,555.00555,1,WARA,WARA1,Injector
12/01/2016,I1,555.00555,1,WARA,WARA1,Injector
13/01/2016,I1,555.00555,1,WARA,WARA1,Injector
14/01/2016,I1,555.00555,1,WARA,WARA1,Injector
15/01/2016,I1,555.00555,1,WARA,WARA1,Injector
16/01/2016,I1,555.00555,1,WARA,WARA1,Injector
17/01/2016,I1,555.00555,1,WARA,WARA1,Injector
18/01/2016,I1,555.00555,1,WARA,WARA1,Injector
19/01/2016,I1,555.00555,1,WARA,WARA1,Injector
20/01/2016,I1,555.00555,1,WARA,WARA1,Injector
21/01/2016,I1,555.00555,1,WARA,WARA1,Injector
22/01/2016,I1,555.00555,1,WARA,WARA1,Injector
23/01/2016,I1,555.00555,1,WARA,WARA1,Injector
24/01/2016,I1,555.00555,1,WARA,WARA1,Injector
25/01/2016,I1,555.00555,1,WARA,WARA1,Injector
26/01/2016,I1,555.00555,1,WARA,WARA1,Injector
27/01/2016,I1,555.00555,1,WARA,WARA1,Injector
28/01/2016,I1,555.00555,1,WARA,WARA1,Injector
29/01/2016,I1,555.00555,1,WARA,WARA1,Injector
30/01/2016,I1,555.00555,1,WARA,WARA1,Injector
31/01/2016,I1,555.00555,1,WARA,WARA1,Injector
01/02/2016,I1,2717.02717,1,WARA,WARA1,Injector
