DATE,NAME,WATER_INJECTION,ZONE,SUBZONE,SECTOR,WELL_TYPE
01/11/2023,AH-0299-1_I,0.0,WARA,MW,7,Injector
01/12/2023,AH-0299-1_I,0.0,WARA,MW,7,Injector
01/01/2024,AH-0299-1_I,0.0,WARA,MW,7,Injector
01/02/2024,AH-0299-1_I,0.0,WARA,MW,7,Injector
01/03/2024,AH-0299-1_I,0.0,WARA,MW,7,Injector
01/04/2024,AH-0299-1_I,0.0,WARA,MW,7,Injector
01/05/2024,AH-0299-1_I,0.0,WARA,MW,7,Injector
01/06/2024,AH-0299-1_I,362.3752999999999,WARA,MW,7,Injector
01/07/2024,AH-0299-1_I,988.5694,WARA,MW,7,Injector
01/08/2024,AH-0299-1_I,961.7733999999996,WARA,MW,7,Injector
01/09/2024,AH-0299-1_I,762.8130999999997,WARA,MW,7,Injector
01/10/2024,AH-0299-1_I,1252.8855499999995,WARA,MW,7,Injector
01/12/2023,AH-0300-1_I,0.0,WARA,MW,7,Injector
01/01/2024,AH-0300-1_I,0.0,WARA,MW,7,Injector
01/02/2024,AH-0300-1_I,0.0,WARA,MW,7,Injector
01/03/2024,AH-0300-1_I,0.0,WARA,MW,7,Injector
01/04/2024,AH-0300-1_I,0.0,WARA,MW,7,Injector
01/05/2024,AH-0300-1_I,0.0,WARA,MW,7,Injector
01/06/2024,AH-0300-1_I,197.9047,WARA,MW,7,Injector
01/07/2024,AH-0300-1_I,1235.4783,WARA,MW,7,Injector
01/08/2024,AH-0300-1_I,2046.1791,WARA,MW,7,Injector
01/09/2024,AH-0300-1_I,2031.34995,WARA,MW,7,Injector
01/10/2024,AH-0300-1_I,2036.1103,WARA,MW,7,Injector
01/03/2024,AH-0301-1_I,0.0,WARA,MW,7,Injector
01/04/2024,AH-0301-1_I,0.0,WARA,MW,7,Injector
01/05/2024,AH-0301-1_I,0.0,WARA,MW,7,Injector
01/06/2024,AH-0301-1_I,158.83735,WARA,MW,7,Injector
01/07/2024,AH-0301-1_I,521.7099999999998,WARA,MW,7,Injector
01/08/2024,AH-0301-1_I,510.4434999999999,WARA,MW,7,Injector
01/09/2024,AH-0301-1_I,522.41035,WARA,MW,7,Injector
01/10/2024,AH-0301-1_I,531.048,WARA,MW,7,Injector
01/01/2014,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/02/2014,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/03/2014,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/04/2014,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/05/2014,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/06/2014,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/07/2014,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/08/2014,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/09/2014,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/10/2014,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/11/2014,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/12/2014,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/01/2015,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/02/2015,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/03/2015,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/04/2015,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/05/2015,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/06/2015,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/07/2015,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/08/2015,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/09/2015,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/10/2015,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/11/2015,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/12/2015,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/01/2016,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/02/2016,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/03/2016,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/04/2016,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/05/2016,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/06/2016,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/07/2016,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/08/2016,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/09/2016,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/10/2016,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/11/2016,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/12/2016,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/01/2017,BG-0345-1_I,535.0876999999998,WARA,MW,4,Injector
01/02/2017,BG-0345-1_I,2146.79605,WARA,MW,4,Injector
01/03/2017,BG-0345-1_I,1550.62565,WARA,MW,4,Injector
01/04/2017,BG-0345-1_I,1593.4180499999998,WARA,MW,4,Injector
01/05/2017,BG-0345-1_I,1576.3152999999998,WARA,MW,4,Injector
01/06/2017,BG-0345-1_I,1630.9222999999995,WARA,MW,4,Injector
01/07/2017,BG-0345-1_I,1734.86845,WARA,MW,4,Injector
01/08/2017,BG-0345-1_I,1650.2072999999998,WARA,MW,4,Injector
01/09/2017,BG-0345-1_I,1516.66375,WARA,MW,4,Injector
01/10/2017,BG-0345-1_I,1394.7927,WARA,MW,4,Injector
01/11/2017,BG-0345-1_I,1520.48015,WARA,MW,4,Injector
01/12/2017,BG-0345-1_I,1595.9453999999996,WARA,MW,4,Injector
01/01/2018,BG-0345-1_I,1429.4245,WARA,MW,4,Injector
01/02/2018,BG-0345-1_I,0.0,WARA,MW,4,Injector
01/03/2018,BG-0345-1_I,1033.27,WARA,MW,4,Injector
01/04/2018,BG-0345-1_I,1308.4364999999998,WARA,MW,4,Injector
01/05/2018,BG-0345-1_I,1461.6913499999996,WARA,MW,4,Injector
01/06/2018,BG-0345-1_I,1450.42485,WARA,MW,4,Injector
01/07/2018,BG-0345-1_I,1372.8077999999996,WARA,MW,4,Injector
01/08/2018,BG-0345-1_I,1209.2507,WARA,MW,4,Injector
01/09/2018,BG-0345-1_I,923.3252,WARA,MW,4,Injector
01/10/2018,BG-0345-1_I,634.1516999999999,WARA,MW,4,Injector
01/11/2018,BG-0345-1_I,641.1450499999999,WARA,MW,4,Injector
01/12/2018,BG-0345-1_I,657.03995,WARA,MW,4,Injector
01/01/2019,BG-0345-1_I,661.8611999999998,WARA,MW,4,Injector
01/02/2019,BG-0345-1_I,812.8221499999999,WARA,MW,4,Injector
01/03/2019,BG-0345-1_I,758.8444499999998,WARA,MW,4,Injector
01/04/2019,BG-0345-1_I,677.2790499999999,WARA,MW,4,Injector
01/05/2019,BG-0345-1_I,546.64855,WARA,MW,4,Injector
