DATE,NAME,WATER_INJECTION_VOLUME,SECTOR,ZONE,SUBZONE,RESERVOIR,WELL_TYPE
05/10/2020,BG-0604I,3524.94473,0,RAWA,LW,RAWA,Injector
06/10/2020,BG-0604I,3534.259148,0,RAWA,LW,RAWA,Injector
07/10/2020,BG-0604I,1687.200642,0,RAWA,LW,RAWA,Injector
08/10/2020,BG-0604I,3639.860127,0,RAWA,LW,RAWA,Injector
09/10/2020,BG-0604I,3422.068033,0,RAWA,LW,RAWA,Injector
10/10/2020,BG-0604I,3271.580042,0,RAWA,LW,RAWA,Injector
11/10/2020,BG-0604I,3340.752882,0,RAWA,LW,RAWA,Injector
12/10/2020,BG-0604I,3066.872758,0,RAWA,LW,RAWA,Injector
13/10/2020,BG-0604I,3225.784858,0,RAWA,LW,RAWA,Injector
14/10/2020,BG-0604I,3309.905574,0,RAWA,LW,RAWA,Injector
15/10/2020,BG-0604I,3318.315085,0,RAWA,LW,RAWA,Injector
16/10/2020,BG-0604I,2761.677139,0,RAWA,LW,RAWA,Injector
17/10/2020,BG-0604I,2205.039193,0,RAWA,LW,RAWA,Injector
18/10/2020,BG-0604I,3034.145535,0,RAWA,LW,RAWA,Injector
19/10/2020,BG-0604I,3175.289848,0,RAWA,LW,RAWA,Injector
20/10/2020,BG-0604I,3754.823655,0,RAWA,LW,RAWA,Injector
21/10/2020,BG-0604I,3332.333069,0,RAWA,LW,RAWA,Injector
22/10/2020,BG-0604I,3372.52341,0,RAWA,LW,RAWA,Injector
23/10/2020,BG-0604I,3678.18636,0,RAWA,LW,RAWA,Injector
24/10/2020,BG-0604I,3730.5306,0,RAWA,LW,RAWA,Injector
25/10/2020,BG-0604I,5245.73064,0,RAWA,LW,RAWA,Injector
26/10/2020,BG-0604I,3573.492459,0,RAWA,LW,RAWA,Injector
27/10/2020,BG-0604I,4195.089541,0,RAWA,LW,RAWA,Injector
28/10/2020,BG-0604I,3458.079262,0,RAWA,LW,RAWA,Injector
29/10/2020,BG-0604I,4021.706472,0,RAWA,LW,RAWA,Injector
30/10/2020,BG-0604I,3808.135999,0,RAWA,LW,RAWA,Injector
31/10/2020,BG-0604I,3768.383852,0,RAWA,LW,RAWA,Injector
