DATE,NAME,LIQUID_VOLUME,CUMM,SECTOR,ZONE,SUBZONE,RESERVOIR,WELL_TYPE,OIL_VOLUME,GAS_VOLUME,WATER_VOLUME,WATER_FRACTION
05/10/2020,BG-0234P,0,4075.655675,0,RAWA,LW,RAWA,Producer,0,0,0,0.002702626
06/10/2020,BG-0234P,0,8060.059122,0,RAWA,LW,RAWA,Producer,0,0,0,0.002292279
07/10/2020,BG-0234P,1024.137966,12161.16567,0,RAWA,LW,RAWA,Producer,812.8739724,203.2184931,8.045500301,0.007855875
08/10/2020,BG-0234P,1280.601703,16240.2294,0,RAWA,LW,RAWA,Producer,1021.842644,255.4606611,3.29839718,0.002575662
09/10/2020,BG-0234P,1513.106918,20329.8213,0,RAWA,LW,RAWA,Producer,1206.923453,301.7308634,4.452601144,0.002942688
10/10/2020,BG-0234P,1729.812945,24425.39984,0,RAWA,LW,RAWA,Producer,1379.058946,344.7647365,5.989262125,0.003462376
11/10/2020,BG-0234P,1942.860652,28513.76141,0,RAWA,LW,RAWA,Producer,1549.484353,387.3710883,6.005210602,0.003090912
12/10/2020,BG-0234P,2183.356572,32603.06107,0,RAWA,LW,RAWA,Producer,1739.836604,434.9591509,8.560817061,0.003920943
13/10/2020,BG-0234P,2343.887459,36436.17364,0,RAWA,LW,RAWA,Producer,1867.496941,466.8742352,9.516283202,0.004060043
14/10/2020,BG-0234P,2373.74676,39895.47935,0,RAWA,LW,RAWA,Producer,1892.480832,473.1202081,8.145719514,0.003431587
15/10/2020,BG-0234P,2383.864949,43256.32039,0,RAWA,LW,RAWA,Producer,1901.246554,475.3116385,7.306756383,0.003065088
16/10/2020,BG-0234P,2405.710664,46692.91975,0,RAWA,LW,RAWA,Producer,1913.65864,478.41466,13.63736365,0.005668746
17/10/2020,BG-0234P,2504.545836,50418.04383,0,RAWA,LW,RAWA,Producer,1989.746329,497.4365821,17.36292497,0.006932564
18/10/2020,BG-0234P,2715.736038,54540.75773,0,RAWA,LW,RAWA,Producer,2163.269038,540.8172596,11.64974032,0.004289717
19/10/2020,BG-0234P,2882.467157,58669.67189,0,RAWA,LW,RAWA,Producer,2300.021616,575.005404,7.440136655,0.00258117
20/10/2020,BG-0234P,3038.088545,62784.46461,0,RAWA,LW,RAWA,Producer,2430.751173,607.6877933,-0.350421644,-0.000115343
21/10/2020,BG-0234P,3102.828668,66639.6231,0,RAWA,LW,RAWA,Producer,2480.404426,620.1011064,2.32313542,0.000748715
22/10/2020,BG-0234P,3088.711281,70239.22292,0,RAWA,LW,RAWA,Producer,2467.349571,616.8373926,4.524317933,0.001464791
23/10/2020,BG-0234P,3122.647095,73858.99184,0,RAWA,LW,RAWA,Producer,2495.02795,623.7569874,3.862158153,0.001236822
24/10/2020,BG-0234P,3160.962749,77446.89065,0,RAWA,LW,RAWA,Producer,2523.270618,630.8176544,6.874476673,0.002174805
25/10/2020,BG-0234P,3195.285441,81025.48186,0,RAWA,LW,RAWA,Producer,2556.132804,639.033201,0.119436277,3.74E-05
26/10/2020,BG-0234P,3223.398172,84582.53851,0,RAWA,LW,RAWA,Producer,2569.884902,642.4712256,11.04204425,0.003425591
27/10/2020,BG-0234P,3250.208217,88136.06015,0,RAWA,LW,RAWA,Producer,2595.658776,648.9146941,5.63474656,0.001733657
28/10/2020,BG-0234P,3264.740308,91670.31491,0,RAWA,LW,RAWA,Producer,2601.851225,650.4628062,12.42627668,0.003806207
29/10/2020,BG-0234P,3277.254534,95221.9163,0,RAWA,LW,RAWA,Producer,2616.38415,654.0960374,6.774346435,0.00206708
30/10/2020,BG-0234P,3297.215687,98823.76085,0,RAWA,LW,RAWA,Producer,2631.042277,657.7605693,8.412840382,0.002551498
31/10/2020,BG-0234P,3323.883928,102498.9822,0,RAWA,LW,RAWA,Producer,2651.665809,662.9164522,9.301667082,0.002798433
01/11/2020,BG-0234P,3355.674957,106242.8337,0,RAWA,LW,RAWA,Producer,2680.838376,670.209594,4.626986497,0.001378854
02/11/2020,BG-0234P,3414.823052,110111.7415,0,RAWA,LW,RAWA,Producer,2708.337932,677.084483,29.40063739,0.00860971
03/11/2020,BG-0234P,3456.4345,113983.4606,0,RAWA,LW,RAWA,Producer,2694.517616,673.6294041,88.28747966,0.025542934
04/11/2020,BG-0234P,3527.049629,117934.8245,0,RAWA,LW,RAWA,Producer,2700.091117,675.0227793,151.9357323,0.043077288
05/11/2020,BG-0234P,3562.401159,121804.7808,0,RAWA,LW,RAWA,Producer,2681.63958,670.4098949,210.3516847,0.059047725
06/11/2020,BG-0234P,3557.111901,125582.5977,0,RAWA,LW,RAWA,Producer,2635.558155,658.8895387,262.6642068,0.073841986
07/11/2020,BG-0234P,3562.077615,129363.7404,0,RAWA,LW,RAWA,Producer,2598.203884,649.5509711,314.3227594,0.088241412
08/11/2020,BG-0234P,3588.221798,133198.7971,0,RAWA,LW,RAWA,Producer,2579.000855,644.7502137,364.4707294,0.101574192
09/11/2020,BG-0234P,3603.804616,137031.865,0,RAWA,LW,RAWA,Producer,2549.690876,637.4227191,416.6910205,0.115625308
10/11/2020,BG-0234P,3639.550928,140930.7641,0,RAWA,LW,RAWA,Producer,2537.404401,634.3511002,467.7954265,0.128531084
11/11/2020,BG-0234P,3658.915336,144813.5327,0,RAWA,LW,RAWA,Producer,2520.885728,630.2214319,507.8081762,0.138786534
12/11/2020,BG-0234P,3672.475192,148699.2205,0,RAWA,LW,RAWA,Producer,2488.782268,622.1955669,561.4973573,0.152893438
13/11/2020,BG-0234P,3700.609451,152623.9247,0,RAWA,LW,RAWA,Producer,2481.069702,620.2674254,599.2723245,0.161938819
14/11/2020,BG-0234P,3717.364642,156534.011,0,RAWA,LW,RAWA,Producer,2459.545498,614.8863745,642.9327693,0.172953915
15/11/2020,BG-0234P,3733.833172,160452.7376,0,RAWA,LW,RAWA,Producer,2431.264381,607.8160953,694.7526953,0.18606956
16/11/2020,BG-0234P,3748.993304,164372.8018,0,RAWA,LW,RAWA,Producer,2413.345765,603.3364412,732.3110978,0.195335398
17/11/2020,BG-0234P,3762.802173,168296.2325,0,RAWA,LW,RAWA,Producer,2390.320409,597.5801023,774.9016614,0.205937391
18/11/2020,BG-0234P,3777.363956,172228.2232,0,RAWA,LW,RAWA,Producer,2370.673867,592.6684668,814.0216219,0.215499918
19/11/2020,BG-0234P,3788.150549,176160.0944,0,RAWA,LW,RAWA,Producer,2349.940615,587.4851538,850.7247802,0.22457523
20/11/2020,BG-0234P,3800.90007,180105.1349,0,RAWA,LW,RAWA,Producer,2340.647332,585.161833,875.0909045,0.230232547
21/11/2020,BG-0234P,3814.279607,184060.1278,0,RAWA,LW,RAWA,Producer,2327.044714,581.7611784,905.4737153,0.237390493
22/11/2020,BG-0234P,3813.939479,188025.0265,0,RAWA,LW,RAWA,Producer,2298.956436,574.739109,940.2439338,0.246528278
23/11/2020,BG-0234P,3802.871581,191995.3849,0,RAWA,LW,RAWA,Producer,2267.387291,566.8468227,968.6374677,0.254712116
24/11/2020,BG-0234P,3871.645422,196164.5084,0,RAWA,LW,RAWA,Producer,2288.24018,572.060045,1011.345197,0.261218445
25/11/2020,BG-0234P,3912.825788,200295.3492,0,RAWA,LW,RAWA,Producer,2278.844026,569.7110066,1064.270755,0.271995436
26/11/2020,BG-0234P,3919.503439,204364.8511,0,RAWA,LW,RAWA,Producer,2264.808791,566.2021978,1088.492451,0.277711824
27/11/2020,BG-0234P,3920.403062,208401.4801,0,RAWA,LW,RAWA,Producer,2238.344064,559.586016,1122.472982,0.286315709
28/11/2020,BG-0234P,3915.670946,212431.5932,0,RAWA,LW,RAWA,Producer,2213.29359,553.3233975,1149.053959,0.293450082
29/11/2020,BG-0234P,3906.81455,216471.9089,0,RAWA,LW,RAWA,Producer,2183.428087,545.8570216,1177.529442,0.301403977
