DATE,NAME,LIQUID_PRODUCTION,ZONE,SUBZONE,SECTOR,WELL_TYPE,GAS_PRODUCTION,WATER_PRODUCTION,OIL_PRODUCTION
01/07/2014,AH-0003-2_P,2211.34865,WARA,MW,8,Producer,263.07,1428.80535,782.5432999999998
01/08/2014,AH-0003-2_P,1983.37085,WARA,MW,8,Producer,283.68,1103.70085,879.6700000000001
01/09/2014,AH-0003-2_P,2041.63735,WARA,MW,8,Producer,344.29,813.39055,1228.2468
01/10/2014,AH-0003-2_P,1946.99175,WARA,MW,8,Producer,281.94,566.62375,1380.368
01/11/2014,AH-0003-2_P,1982.18835,WARA,MW,8,Producer,314.48,569.34395,1412.8444
01/12/2014,AH-0003-2_P,2001.74885,WARA,MW,8,Producer,549.84,607.8530499999998,1393.8958000000002
01/01/2015,AH-0003-2_P,700.05045,WARA,MW,8,Producer,119.6,176.07205000000002,523.9784
01/02/2015,AH-0003-2_P,1890.7805,WARA,MW,8,Producer,894.28,448.0007,1442.7798
01/03/2015,AH-0003-2_P,2210.983,WARA,MW,8,Producer,1167.33,493.4727,1717.5103
01/04/2015,AH-0003-2_P,3631.81645,WARA,MW,8,Producer,1447.98,925.32475,2706.4917
01/05/2015,AH-0003-2_P,1173.28125,WARA,MW,8,Producer,426.0,287.80325,885.4780000000001
01/06/2015,AH-0003-2_P,0.0,WARA,MW,8,Producer,0.0,0.0,0.0
01/07/2015,AH-0003-2_P,0.0,WARA,MW,8,Producer,0.0,0.0,0.0
01/08/2015,AH-0003-2_P,1021.4867,WARA,MW,8,Producer,314.8,496.2741,525.2126000000001
01/09/2015,AH-0003-2_P,2330.7579,WARA,MW,8,Producer,821.9,1007.6108,1323.1471
01/10/2015,AH-0003-2_P,2310.2999,WARA,MW,8,Producer,808.71,1056.5947,1253.7052
01/11/2015,AH-0003-2_P,2380.38,WARA,MW,8,Producer,764.76,1169.7266,1210.6534
01/12/2015,AH-0003-2_P,1924.7418,WARA,MW,8,Producer,476.89,497.8372,1426.9046
01/01/2016,AH-0003-2_P,1918.88135,WARA,MW,8,Producer,476.42,759.7376499999998,1159.1437000000003
01/02/2016,AH-0003-2_P,2160.77105,WARA,MW,8,Producer,522.51,777.94675,1382.8242999999998
01/03/2016,AH-0003-2_P,2244.0655,WARA,MW,8,Producer,428.37,802.5198999999999,1441.5456000000004
01/04/2016,AH-0003-2_P,2062.53695,WARA,MW,8,Producer,416.61,630.2236499999998,1432.3133000000005
01/05/2016,AH-0003-2_P,2293.32445,WARA,MW,8,Producer,437.02,749.9936499999999,1543.3308000000002
01/06/2016,AH-0003-2_P,2175.6379,WARA,MW,8,Producer,397.16,715.6155999999999,1460.0223000000003
01/07/2016,AH-0003-2_P,1469.5076,WARA,MW,8,Producer,243.66,533.4637,936.0439
01/08/2016,AH-0003-2_P,2261.77645,WARA,MW,8,Producer,361.73,665.36295,1596.4135
01/09/2016,AH-0003-2_P,1999.5455,WARA,MW,8,Producer,337.88,534.2959999999998,1465.2495
01/10/2016,AH-0003-2_P,1870.90435,WARA,MW,8,Producer,284.54,675.5332499999997,1195.3711000000003
01/11/2016,AH-0003-2_P,2332.99705,WARA,MW,8,Producer,379.87,842.2165499999999,1490.7805
01/12/2016,AH-0003-2_P,2421.57875,WARA,MW,8,Producer,418.03,888.5208499999998,1533.0579000000002
01/01/2017,AH-0003-2_P,2206.55775,WARA,MW,8,Producer,351.04,892.82445,1313.7333
01/02/2017,AH-0003-2_P,2407.99015,WARA,MW,8,Producer,426.59,763.8179499999999,1644.1722000000002
01/03/2017,AH-0003-2_P,2434.47245,WARA,MW,8,Producer,397.19,896.9859499999999,1537.4865000000004
01/04/2017,AH-0003-2_P,2164.9897,WARA,MW,8,Producer,324.31,734.0073999999997,1430.9823000000004
01/05/2017,AH-0003-2_P,1372.42275,WARA,MW,8,Producer,180.95,511.89495,860.5278
01/06/2017,AH-0003-2_P,2192.8067,WARA,MW,8,Producer,366.04,833.9645999999998,1358.8421000000003
01/07/2017,AH-0003-2_P,2303.7027,WARA,MW,8,Producer,481.24,798.8861999999998,1504.8165
01/08/2017,AH-0003-2_P,2334.80045,WARA,MW,8,Producer,562.06,808.51855,1526.2819000000002
01/09/2017,AH-0003-2_P,2419.7193,WARA,MW,8,Producer,630.16,810.2135999999998,1609.5057000000004
01/10/2017,AH-0003-2_P,2266.8565,WARA,MW,8,Producer,446.58,967.498,1299.3584999999998
01/11/2017,AH-0003-2_P,2026.78885,WARA,MW,8,Producer,346.04,1001.02345,1025.7653999999998
01/12/2017,AH-0003-2_P,2000.4034,WARA,MW,8,Producer,391.64,875.539,1124.8644
01/01/2018,AH-0003-2_P,2081.086,WARA,MW,8,Producer,428.33,891.4744999999998,1189.6115000000004
01/02/2018,AH-0003-2_P,1979.031,WARA,MW,8,Producer,446.32,940.0524,1038.9786
01/03/2018,AH-0003-2_P,2038.61095,WARA,MW,8,Producer,397.69,900.37605,1138.2349
01/04/2018,AH-0003-2_P,2007.5312,WARA,MW,8,Producer,382.81,888.5716,1118.9596
01/05/2018,AH-0003-2_P,2002.04545,WARA,MW,8,Producer,392.21,789.3350499999998,1212.7104000000004
01/06/2018,AH-0003-2_P,1898.77925,WARA,MW,8,Producer,362.44,800.8857499999998,1097.8935
01/07/2018,AH-0003-2_P,1771.1815499999998,WARA,MW,8,Producer,647.31,608.8071499999999,1162.3744
01/08/2018,AH-0003-2_P,1626.9049999999993,WARA,MW,8,Producer,652.79,512.6764999999998,1114.2284999999997
01/09/2018,AH-0003-2_P,1937.61695,WARA,MW,8,Producer,724.96,608.17785,1329.4391
01/10/2018,AH-0003-2_P,2035.19185,WARA,MW,8,Producer,654.55,770.98385,1264.208
01/11/2018,AH-0003-2_P,1773.1135999999997,WARA,MW,8,Producer,511.94,603.6001999999999,1169.5133999999996
01/12/2018,AH-0003-2_P,1680.7775,WARA,MW,8,Producer,488.93,624.3265,1056.451
01/01/2019,AH-0003-2_P,1816.9129,WARA,MW,8,Producer,598.79,581.6965,1235.2164
01/02/2019,AH-0003-2_P,1828.62435,WARA,MW,8,Producer,526.87,759.87975,1068.7446
01/03/2019,AH-0003-2_P,1865.48045,WARA,MW,8,Producer,601.84,717.43245,1148.048
01/04/2019,AH-0003-2_P,1859.2554,WARA,MW,8,Producer,477.45,907.8566,951.3988
01/05/2019,AH-0003-2_P,1738.20205,WARA,MW,8,Producer,493.45,817.7550499999999,920.4470000000002
01/06/2019,AH-0003-2_P,1731.5254999999993,WARA,MW,8,Producer,629.7,804.9558999999997,926.5695999999996
01/07/2019,AH-0003-2_P,1624.18955,WARA,MW,8,Producer,660.4,748.63355,875.556
01/08/2019,AH-0003-2_P,1573.1398999999994,WARA,MW,8,Producer,575.3,821.4394999999997,751.7003999999997
01/09/2019,AH-0003-2_P,1576.10785,WARA,MW,8,Producer,516.69,614.7144499999998,961.3934000000004
01/10/2019,AH-0003-2_P,1595.6949499999996,WARA,MW,8,Producer,488.64,842.7240499999998,752.9708999999998
01/11/2019,AH-0003-2_P,1403.06875,WARA,MW,8,Producer,383.75,638.50605,764.5627
01/12/2019,AH-0003-2_P,1271.9395,WARA,MW,8,Producer,315.75,535.4124999999998,736.5270000000002
01/01/2020,AH-0003-2_P,1179.3168999999998,WARA,MW,8,Producer,302.66,634.7201,544.5967999999998
01/02/2020,AH-0003-2_P,1083.1444,WARA,MW,8,Producer,220.46,685.4294999999997,397.71490000000017
01/03/2020,AH-0003-2_P,1385.8997,WARA,MW,8,Producer,424.15,742.1070999999998,643.7926000000001
01/04/2020,AH-0003-2_P,1632.69015,WARA,MW,8,Producer,598.19,695.5693499999999,937.1208
01/05/2020,AH-0003-2_P,1672.6064499999998,WARA,MW,8,Producer,692.19,660.9375499999999,1011.6689
01/06/2020,AH-0003-2_P,1910.52185,WARA,MW,8,Producer,853.69,890.1651499999998,1020.3567000000004
01/07/2020,AH-0003-2_P,1733.71645,WARA,MW,8,Producer,588.45,798.0234499999998,935.693
01/08/2020,AH-0003-2_P,819.6639999999999,WARA,MW,8,Producer,201.9,482.9572999999999,336.7067
01/09/2020,AH-0003-2_P,1755.1379499999996,WARA,MW,8,Producer,418.46,998.28295,756.8549999999994
