DATE,NAME,WATER_INJECTION_VOLUME,SECTOR,ZONE,SUBZONE,RESERVOIR,WELL_TYPE
25/11/2021,BG-0604I,1354.038448,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-0710I,3118.808535,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-0711I,1118.992923,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-0718I,832.5068929,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-0720I,694.4247813,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-0721I,936.1653387,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-0722I,582.318297,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-0725I,0,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-0739I,2196.124953,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-0754I,2419.640712,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-0756I,2822.178621,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-0758I,1626.141869,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-0759I,2553.633666,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-0772I,0,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-0833I,1377.685363,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-0834I,960.0553711,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1139I,278.0907062,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1143I,2557.967533,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1145I,1902.322466,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1204I,2532.11253,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-1206I,1511.606773,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-1219I,1145.509582,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1262I,879.3577013,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1263I,1236.652516,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1264I,0,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1280I,839.0326883,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1294I,1256.335267,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1297I,2508.113453,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-1298I,385.3065877,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-1354I,641.5848216,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1358I,2328.299078,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1360I,1101.555329,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1422I,1490.674002,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1423I,320.9835457,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1429I,575.5725654,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1430I,1778.553585,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-1432I,2225.386762,0,RAWA,RW,RAWA,Injector
25/11/2021,BG-1489I,587.9737284,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-1491I,1279.664861,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-1506I,1009.307154,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-1521I,1040.650758,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-1581I,1026.370624,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-1588I,1015.856563,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-1666I,1346.120603,0,RAWA,LW,RAWA,Injector
25/11/2021,BG-1692I,689.2806781,0,RAWA,LW,RAWA,Injector
