NAME,X,Y,SECTOR,ZONE,SUBZONE,WELL_TYPE,LAT,LONG,RESERVOIR
BG-0234P,413883.22,3206716.67,0,RAWA,LW,Producer,28.9856405821384,44.11598442879016,RAWA
BG-0241P,416975.21,3203439.21,0,RAWA,LW,Producer,28.956266397596316,44.14796404920238,RAWA
BG-0299P,426880.37,3216281.52,0,RAWA,RW,Producer,29.07277570748774,44.248769218264925,RAWA
BG-0604I,417596.0,3199947.0,0,RAWA,LW,Injector,28.924789174951627,44.15459017242731,RAWA
BG-0710I,409707.38,3217781.61,0,RAWA,LW,Injector,29.08521010445438,44.072230005140774,RAWA
BG-0711I,410500.22,3218677.2,0,RAWA,LW,Injector,29.09334859754512,44.08030386898915,RAWA
BG-0718I,410872.8,3221635.87,0,RAWA,LW,Injector,29.1200758010913,44.08389561924659,RAWA
BG-0720I,411467.61,3223735.79,0,RAWA,LW,Injector,29.139068479119594,44.089841901377156,RAWA
BG-0721I,411959.99,3206009.94,0,RAWA,LW,Injector,28.97913120634086,44.096299323070006,RAWA
BG-0722I,413967.46,3205285.77,0,RAWA,LW,Injector,28.97273250531806,44.1169587715028,RAWA
BG-0725I,417995.17,3199032.6,0,RAWA,LW,Injector,28.91656227408144,44.158751633247,RAWA
BG-0732P,409599.62,3222052.19,0,RAWA,LW,Producer,29.123742879131136,44.07077672863321,RAWA
BG-0739I,416148.81,3201622.25,0,RAWA,LW,Injector,28.939814335222927,44.13961948794248,RAWA
BG-0754I,411998.4,3227460.27,0,RAWA,LW,Injector,29.172717474008405,44.09500348778642,RAWA
BG-0756I,414691.21,3204789.82,0,RAWA,LW,Injector,28.968305142889466,44.124424327426965,RAWA
BG-0757P,414878.83,3203179.63,0,RAWA,LW,Producer,28.953785749389365,44.12647180045212,RAWA
BG-0758I,415493.6,3202437.6,0,RAWA,LW,Injector,28.947129735698223,44.13283586403836,RAWA
BG-0759I,416856.15,3200639.02,0,RAWA,LW,Injector,28.93098682864612,44.14694936944275,RAWA
BG-0772I,425789.65,3209063.44,0,RAWA,RW,Injector,29.007568531297935,44.23804270056589,RAWA
BG-0833I,428751.12,3214179.41,0,RAWA,RW,Injector,29.053910059979724,44.26812199424305,RAWA
BG-0834I,428230.77,3212017.99,0,RAWA,RW,Injector,29.03437365932359,44.262915917619694,RAWA
BG-0861P,409974.84,3220023.8,0,RAWA,LW,Producer,29.105464078771167,44.07479699940537,RAWA
BG-0862P,410290.5,3220915.0,0,RAWA,LW,Producer,29.113529183740205,44.077969038397626,RAWA
BG-0873ST1P,411642.0,3220275.0,0,RAWA,LW,Producer,29.107848173456293,44.09190897050805,RAWA
BG-0918P,425517.08,3210706.9,0,RAWA,RW,Producer,29.02238509610205,44.23513502533092,RAWA
BG-1054P,416569.8,3203853.8,0,RAWA,LW,Producer,28.959981669484797,44.143773156696064,RAWA
BG-1139I,422461.3788,3207993.799,0,RAWA,RW,Injector,28.99771685781569,44.20394621051193,RAWA
BG-1143I,424334.74,3211659.155,0,RAWA,RW,Injector,29.030909630846832,44.22293014338007,RAWA
BG-1145I,424283.905,3214106.655,0,RAWA,RW,Injector,29.052995487996355,44.2222424832388,RAWA
BG-1204I,416877.7191,3204297.771,0,RAWA,LW,Injector,28.96400858729553,44.14690012639307,RAWA
BG-1206I,415925.5873,3203819.389,0,RAWA,LW,Injector,28.959628875377916,44.13716492692473,RAWA
BG-1219I,425162.5044,3211957.753,0,RAWA,RW,Injector,29.033653413647446,44.23141054988648,RAWA
BG-1236P,424991.923,3213453.464,0,RAWA,RW,Producer,29.0471423134222,44.229558523765476,RAWA
BG-1237P,425583.2033,3213483.292,0,RAWA,RW,Producer,29.047446218818138,44.23562939501958,RAWA
BG-1240P,425654.4407,3214519.064,0,RAWA,RW,Producer,29.056798321121704,44.23629219285229,RAWA
BG-1254P,428337.777,3216183.224,0,RAWA,RW,Producer,29.071971544629438,44.26374788517883,RAWA
BG-1259P,427193.62,3214232.309,0,RAWA,RW,Producer,29.05429932434806,44.252120816326446,RAWA
BG-1262I,427063.87,3215367.79,0,RAWA,RW,Injector,29.064539739977803,44.2507140096327,RAWA
BG-1263I,428212.5921,3216847.052,0,RAWA,RW,Injector,29.07795560919024,44.2624191686185,RAWA
BG-1264I,427743.167,3216973.965,0,RAWA,RW,Injector,29.07907441807848,44.25758817524671,RAWA
BG-1280I,422007.24,3215981.77,0,RAWA,RW,Injector,29.069780911517967,44.198727547832235,RAWA
BG-1294I,425671.8733,3211369.353,0,RAWA,RW,Injector,29.028372859964847,44.23668050849364,RAWA
BG-1297I,412473.0,3223377.0,0,RAWA,LW,Injector,29.135900308693902,44.1002049666992,RAWA
BG-1298I,412599.0,3222750.0,0,RAWA,LW,Injector,29.130250526035987,44.10154934605678,RAWA
BG-1354I,424316.0575,3208062.147,0,RAWA,RW,Injector,28.998445107852792,44.22298127681194,RAWA
BG-1358I,423704.3375,3208371.059,0,RAWA,RW,Injector,29.001196630983443,44.216680438842644,RAWA
BG-1359P,423060.5875,3208539.896,0,RAWA,RW,Producer,29.002681727734217,44.21006005486643,RAWA
BG-1360I,423457.9908,3208803.198,0,RAWA,RW,Injector,29.00508197245914,44.214121913816086,RAWA
BG-1362P,423639.103,3209758.717,0,RAWA,RW,Producer,29.01371649337588,44.21591619206078,RAWA
BG-1422I,424151.0479,3210373.193,0,RAWA,RW,Injector,29.01929277288673,44.221130904107035,RAWA
BG-1423I,424630.85,3209943.905,0,RAWA,RW,Injector,29.015446864742454,44.22608635144012,RAWA
BG-1429I,424596.205,3213038.91,0,RAWA,RW,Injector,29.043377550588183,44.22552217705972,RAWA
BG-1430I,416517.5631,3202816.598,0,RAWA,LW,Injector,28.95061749236086,44.143314160976374,RAWA
BG-1432I,422547.26,3211095.6,0,RAWA,RW,Injector,29.02571607859772,44.204613446436895,RAWA
BG-1447P,411169.74,3218690.78,0,RAWA,LW,Producer,29.09351813937811,44.08718202381055,RAWA
BG-1489I,414232.4708,3221497.052,0,RAWA,LW,Injector,29.119054497144226,44.11843562569467,RAWA
BG-1490P,413664.0738,3220983.18,0,RAWA,LW,Producer,29.114378406076135,44.112633719618294,RAWA
BG-1491I,413316.9219,3221326.121,0,RAWA,LW,Injector,29.117449693993898,44.10903935656983,RAWA
BG-1492P,413670.6529,3222406.248,0,RAWA,LW,Producer,29.127221643282265,44.11259109078389,RAWA
BG-1494P,412953.8043,3222413.933,0,RAWA,LW,Producer,29.127242019924207,44.105222498427864,RAWA
BG-1495P,412952.33,3221691.52,0,RAWA,LW,Producer,29.120722360228505,44.10526378387807,RAWA
BG-1498ST1P,412202.0963,3220969.153,0,RAWA,LW,Producer,29.114151544163477,44.09761005290032,RAWA
BG-1499P,413855.2393,3223901.811,0,RAWA,LW,Producer,29.140731206250443,44.114372641748616,RAWA
BG-1500P,413753.4225,3223493.673,0,RAWA,LW,Producer,29.13704096356913,44.11335761506516,RAWA
BG-1502P,413669.1083,3223094.518,0,RAWA,LW,Producer,29.133432972993777,44.11252186913373,RAWA
BG-1506I,413306.114,3222733.672,0,RAWA,LW,Injector,29.130151690314445,44.108818762594666,RAWA
BG-1508P,412855.9325,3223979.473,0,RAWA,LW,Producer,29.1413637999297,44.10409403471941,RAWA
BG-1521I,413715.81,3225676.68,0,RAWA,LW,Injector,29.156739355984968,44.11280173606387,RAWA
BG-1581I,411946.28,3220774.03,0,RAWA,LW,Injector,29.112372901740628,44.09499644668457,RAWA
BG-1588I,415760.0192,3206386.013,0,RAWA,LW,Injector,28.98278168772182,44.135273347901574,RAWA
BG-1654P,427340.6642,3216951.239,0,RAWA,RW,Producer,29.078846372068718,44.253454378213924,RAWA
BG-1665P,413215.25,3225312.34,0,RAWA,LW,Producer,29.153417129807227,44.107683775629816,RAWA
BG-1666I,412973.5895,3224899.833,0,RAWA,LW,Injector,29.149677823919124,44.10523154989341,RAWA
BG-1679P,413632.5944,3226198.413,0,RAWA,LW,Producer,29.161442153479584,44.11190566085261,RAWA
BG-1692I,415015.4016,3206166.549,0,RAWA,LW,Injector,28.980751672698883,44.127647167045225,RAWA
BG-1723P,414518.9688,3205343.871,0,RAWA,LW,Producer,28.97329390545739,44.12261450529636,RAWA
BG-1724I,412055.52,3221522.87,0,RAWA,LW,Injector,29.119138519293948,44.096060002767416,RAWA
BG-1728P,415515.3,3206378.795,0,RAWA,LW,Producer,28.9827003696925,44.13276207657049,RAWA
BG-1768I,414208.3166,3206408.674,0,RAWA,LW,Injector,28.982882839873408,44.11934486818962,RAWA
MG-0271I,412104.97,3226608.34,0,RAWA,LW,Injector,29.16503653547287,44.09616668443161,RAWA
MG-0400I,413662.454,3227253.536,0,RAWA,LW,Injector,29.17096631207763,44.11213073457768,RAWA
MG-0401P,414042.7388,3226130.734,0,RAWA,LW,Producer,29.16085926453684,44.11612788747811,RAWA
MG-0402I,413709.5221,3226533.174,0,RAWA,LW,Injector,29.164468500271862,44.11267063344468,RAWA
