DATE,NAME,LIQUID_VOLUME,CUMM,SECTOR,ZONE,SUBZONE,RESERVOIR,WELL_TYPE,OIL_VOLUME,GAS_VOLUME,WATER_VOLUME,WATER_FRACTION
25/11/2021,BG-0234P,531.2498871,284977.9138,0,RAWA,LW,RAWA,Producer,218.6296889,54.65742223,257.9627759,0.485577093
25/11/2021,BG-0241P,2110.294108,839395.3076,0,RAWA,LW,RAWA,Producer,471.8212222,117.9553055,1520.517581,0.720524013
25/11/2021,BG-0299P,337.4815993,177588.3655,0,RAWA,RW,RAWA,Producer,209.3271494,52.33178734,75.82266261,0.22467199
25/11/2021,BG-0732P,76.26340535,36132.79859,0,RAWA,LW,RAWA,Producer,61.01062083,15.25265521,0.000129312,1.70E-06
25/11/2021,BG-0757P,736.4605001,303001.2316,0,RAWA,LW,RAWA,Producer,301.375722,75.34393051,359.7408476,0.488472698
25/11/2021,BG-0861P,34.35146453,14710.70753,0,RAWA,LW,RAWA,Producer,27.481263,6.870315751,-0.000114225,-3.33E-06
25/11/2021,BG-0862P,296.5202626,140815.1109,0,RAWA,LW,RAWA,Producer,162.4710792,40.61776979,93.43141368,0.315092847
25/11/2021,BG-0873ST1P,678.6428898,311034.6818,0,RAWA,LW,RAWA,Producer,250.5735694,62.64339234,365.4259281,0.538465714
25/11/2021,BG-0918P,905.3901779,389974.0455,0,RAWA,RW,RAWA,Producer,332.3855962,83.09639905,489.9081827,0.54110172
25/11/2021,BG-1054P,2851.454087,1141041.842,0,RAWA,LW,RAWA,Producer,620.6253681,155.156342,2075.672377,0.727934701
25/11/2021,BG-1236P,870.7709929,399323.993,0,RAWA,RW,RAWA,Producer,291.1956778,72.79891944,506.7763957,0.581985849
25/11/2021,BG-1237P,210.2766565,100860.3499,0,RAWA,RW,RAWA,Producer,168.2092031,42.05230077,0.015152685,7.21E-05
25/11/2021,BG-1240P,80.43744665,34977.19003,0,RAWA,RW,RAWA,Producer,64.35568702,16.08892176,-0.007162127,-8.90E-05
25/11/2021,BG-1254P,591.129884,264660.8971,0,RAWA,RW,RAWA,Producer,248.1348531,62.03371329,280.9613175,0.475295405
25/11/2021,BG-1259P,191.2047061,101544.5317,0,RAWA,RW,RAWA,Producer,134.0289714,33.50724284,23.66849186,0.123786137
25/11/2021,BG-1359P,1997.320953,808580.7515,0,RAWA,RW,RAWA,Producer,503.5581853,125.8895463,1367.873221,0.684853989
25/11/2021,BG-1362P,1308.741141,569433.3903,0,RAWA,RW,RAWA,Producer,374.3122446,93.57806114,840.8508353,0.642488273
25/11/2021,BG-1447P,554.9600288,236525.7019,0,RAWA,LW,RAWA,Producer,271.22325,67.80581249,215.9309664,0.389092827
25/11/2021,BG-1490P,972.700136,435791.371,0,RAWA,LW,RAWA,Producer,348.6547143,87.16367857,536.8817432,0.5519499
25/11/2021,BG-1492P,1139.399085,563657.4113,0,RAWA,LW,RAWA,Producer,337.4162417,84.35406042,717.6287826,0.629830928
25/11/2021,BG-1494P,1922.41672,936233.3914,0,RAWA,LW,RAWA,Producer,404.2543925,101.0635981,1417.09873,0.737144405
25/11/2021,BG-1495P,1360.694876,643745.6932,0,RAWA,LW,RAWA,Producer,409.752167,102.4380417,848.5046672,0.623581879
25/11/2021,BG-1498ST1P,1335.097919,598651.8903,0,RAWA,LW,RAWA,Producer,361.1972299,90.29930748,883.6013813,0.661825151
25/11/2021,BG-1499P,306.1219677,142521.2434,0,RAWA,LW,RAWA,Producer,196.8679232,49.21698079,60.03706375,0.196121383
25/11/2021,BG-1500P,814.6017757,387377.2854,0,RAWA,LW,RAWA,Producer,329.3448042,82.33620105,402.9207705,0.494622996
25/11/2021,BG-1502P,1211.531772,593967.7469,0,RAWA,LW,RAWA,Producer,313.4209067,78.35522668,819.7556384,0.676627438
25/11/2021,BG-1508P,1986.607485,865838.2783,0,RAWA,LW,RAWA,Producer,432.242106,108.0605265,1446.304853,0.728027486
25/11/2021,BG-1654P,449.9738961,201461.0567,0,RAWA,RW,RAWA,Producer,220.0121451,55.00303627,174.9587148,0.388819699
25/11/2021,BG-1665P,1698.620784,705172.7042,0,RAWA,LW,RAWA,Producer,439.2565637,109.8141409,1149.550079,0.676754983
25/11/2021,BG-1679P,2034.800624,860865.5477,0,RAWA,LW,RAWA,Producer,429.5860662,107.3965165,1497.818041,0.73610064
25/11/2021,BG-1723P,2269.202115,1018510.822,0,RAWA,LW,RAWA,Producer,449.6597184,112.4149296,1707.127467,0.75230296
25/11/2021,BG-1728P,1160.902681,591628.3226,0,RAWA,LW,RAWA,Producer,327.6699855,81.91749638,751.3151991,0.647181897
25/11/2021,MG-0401P,1724.756712,726606.1956,0,RAWA,LW,RAWA,Producer,460.4615128,115.1153782,1149.179821,0.666285171
24/11/2021,BG-0234P,529.5921995,284446.4166,0,RAWA,LW,RAWA,Producer,217.7546932,54.43867329,257.3988331,0.486032146
24/11/2021,BG-0241P,2109.166628,837264.8857,0,RAWA,LW,RAWA,Producer,468.4761877,117.1190469,1523.571394,0.722357055
24/11/2021,BG-0299P,339.3947489,177250.0338,0,RAWA,RW,RAWA,Producer,210.6588083,52.66470208,76.07123848,0.224137936
24/11/2021,BG-0732P,75.5741785,36054.71248,0,RAWA,LW,RAWA,Producer,60.47075544,15.11768886,-0.014265798,-0.000188766
24/11/2021,BG-0757P,734.8637412,302263.4976,0,RAWA,LW,RAWA,Producer,301.7428015,75.43570037,357.6852393,0.486736818
24/11/2021,BG-0861P,34.309021,14675.36251,0,RAWA,LW,RAWA,Producer,27.44421344,6.861053361,0.003754192,0.000109423
24/11/2021,BG-0862P,293.1523097,140510.7972,0,RAWA,LW,RAWA,Producer,160.6116598,40.15291495,92.38773496,0.315152676
24/11/2021,BG-0873ST1P,680.0965387,310360.047,0,RAWA,LW,RAWA,Producer,250.1134171,62.52835428,367.4547672,0.540297952
24/11/2021,BG-0918P,902.1847278,389041.8059,0,RAWA,RW,RAWA,Producer,331.4669676,82.8667419,487.8510183,0.540744044
24/11/2021,BG-1054P,2851.838283,1138197.968,0,RAWA,LW,RAWA,Producer,615.2260509,153.8065127,2082.805719,0.730337948
24/11/2021,BG-1236P,861.9566897,398433.6856,0,RAWA,RW,RAWA,Producer,287.8980206,71.97450516,502.0841639,0.582493494
24/11/2021,BG-1237P,207.6577133,100644.381,0,RAWA,RW,RAWA,Producer,166.1054128,41.52635321,0.025947294,0.000124952
24/11/2021,BG-1240P,79.71518197,34895.18097,0,RAWA,RW,RAWA,Producer,63.76953054,15.94238264,0.003268795,4.10E-05
24/11/2021,BG-1254P,587.698324,264053.2792,0,RAWA,RW,RAWA,Producer,246.2246582,61.55616455,279.9175013,0.476294537
24/11/2021,BG-1259P,192.5464445,101355.5286,0,RAWA,RW,RAWA,Producer,134.8568253,33.71420632,23.9754129,0.124517557
24/11/2021,BG-1359P,1990.747076,806536.8662,0,RAWA,RW,RAWA,Producer,500.5601183,125.1400296,1365.046928,0.68569581
24/11/2021,BG-1362P,1309.891663,568151.902,0,RAWA,RW,RAWA,Producer,373.5124668,93.3781167,843.0010794,0.643565497
24/11/2021,BG-1447P,554.5206224,235957.4081,0,RAWA,LW,RAWA,Producer,270.966604,67.741651,215.8123674,0.38918727
24/11/2021,BG-1490P,974.7724673,434823.9306,0,RAWA,LW,RAWA,Producer,347.5691178,86.89227944,540.3110701,0.554294554
24/11/2021,BG-1492P,1146.023663,562588.1369,0,RAWA,LW,RAWA,Producer,337.4414735,84.36036837,724.2218215,0.631943165
24/11/2021,BG-1494P,1933.549169,934395.4424,0,RAWA,LW,RAWA,Producer,405.5580279,101.389507,1426.601634,0.737815028
24/11/2021,BG-1495P,1365.680225,642418.493,0,RAWA,LW,RAWA,Producer,410.5978442,102.6494611,852.4329197,0.624181931
24/11/2021,BG-1498ST1P,1337.202527,597330.5845,0,RAWA,LW,RAWA,Producer,360.5039087,90.12597717,886.5726414,0.663005508
24/11/2021,BG-1499P,307.3924547,142231.0926,0,RAWA,LW,RAWA,Producer,197.5960245,49.39900612,60.39742409,0.196483105
24/11/2021,BG-1500P,819.1149656,386618.8016,0,RAWA,LW,RAWA,Producer,331.3651338,82.84128344,404.9085484,0.494324442
24/11/2021,BG-1502P,1219.031977,592838.0294,0,RAWA,LW,RAWA,Producer,314.225049,78.55626226,826.2506656,0.677792446
24/11/2021,BG-1508P,1994.431586,863907.7463,0,RAWA,LW,RAWA,Producer,430.8158251,107.7039563,1455.911804,0.729988341
24/11/2021,BG-1654P,447.512955,200998.5352,0,RAWA,RW,RAWA,Producer,218.4042737,54.60106842,174.5076129,0.389949857
24/11/2021,BG-1665P,1695.067406,703522.1856,0,RAWA,LW,RAWA,Producer,438.4336245,109.6084061,1147.025376,0.676684226
24/11/2021,BG-1679P,2032.167982,858904.1753,0,RAWA,LW,RAWA,Producer,429.5173906,107.3793476,1495.271243,0.735801005
24/11/2021,BG-1723P,2274.814278,1016246.126,0,RAWA,LW,RAWA,Producer,447.994114,111.9985285,1714.821636,0.753829292
24/11/2021,BG-1728P,1163.713173,590472.9613,0,RAWA,LW,RAWA,Producer,327.1773946,81.79434865,754.7414299,0.648563106
24/11/2021,MG-0401P,1721.521623,724941.119,0,RAWA,LW,RAWA,Producer,457.9854607,114.4963652,1149.039798,0.667455919
23/11/2021,BG-0234P,529.0315121,283921.3681,0,RAWA,LW,RAWA,Producer,217.3660067,54.34150169,257.3240037,0.486405815
23/11/2021,BG-0241P,2115.865762,835165.3668,0,RAWA,LW,RAWA,Producer,471.4304748,117.8576187,1526.577669,0.721490794
23/11/2021,BG-0299P,341.6402414,176915.8117,0,RAWA,RW,RAWA,Producer,212.1659474,53.04148686,76.43280707,0.22372308
23/11/2021,BG-0732P,74.94629153,35977.3348,0,RAWA,LW,RAWA,Producer,59.95213925,14.98803481,0.006117465,8.16E-05
23/11/2021,BG-0757P,735.17966,301532.1699,0,RAWA,LW,RAWA,Producer,301.9795598,75.49488996,357.7052102,0.486554824
23/11/2021,BG-0861P,34.21074925,14640.33816,0,RAWA,LW,RAWA,Producer,27.37254008,6.843135021,-0.004925849,-0.000143985
23/11/2021,BG-0862P,290.0337957,140209.2444,0,RAWA,LW,RAWA,Producer,158.9893592,39.7473398,91.29709665,0.314780891
23/11/2021,BG-0873ST1P,682.7259858,309694.9001,0,RAWA,LW,RAWA,Producer,250.9813676,62.74534191,368.9992763,0.54047932
23/11/2021,BG-0918P,901.3865003,388120.3384,0,RAWA,RW,RAWA,Producer,331.2755068,82.81887671,487.2921168,0.540602856
23/11/2021,BG-1054P,2860.452483,1135394.049,0,RAWA,LW,RAWA,Producer,619.6405509,154.9101377,2085.901795,0.729220921
23/11/2021,BG-1236P,858.7673406,397556.8324,0,RAWA,RW,RAWA,Producer,286.9261722,71.73154305,500.1096253,0.582357528
23/11/2021,BG-1237P,207.2548242,100433.7569,0,RAWA,RW,RAWA,Producer,165.7756154,41.44390386,0.035304939,0.000170346
23/11/2021,BG-1240P,79.29376322,34813.47016,0,RAWA,RW,RAWA,Producer,63.43628955,15.85907239,-0.001598724,-2.02E-05
23/11/2021,BG-1254P,585.3650775,263452.2142,0,RAWA,RW,RAWA,Producer,245.7085355,61.42713387,278.2294082,0.475309202
23/11/2021,BG-1259P,194.0329684,101168.8569,0,RAWA,RW,RAWA,Producer,136.0171719,34.00429298,24.01150345,0.123749606
23/11/2021,BG-1359P,1989.222513,804512.2687,0,RAWA,RW,RAWA,Producer,500.807671,125.2019177,1363.212924,0.685299365
23/11/2021,BG-1362P,1313.669871,566877.6826,0,RAWA,RW,RAWA,Producer,375.2569041,93.81422603,844.5987407,0.642930739
23/11/2021,BG-1447P,553.3312708,235394.27,0,RAWA,LW,RAWA,Producer,270.6031018,67.65077546,215.0773935,0.388695533
23/11/2021,BG-1490P,977.7161599,433863.9675,0,RAWA,LW,RAWA,Producer,349.4213591,87.35533977,540.9394611,0.553268406
23/11/2021,BG-1492P,1158.731215,561532.0255,0,RAWA,LW,RAWA,Producer,341.8338137,85.45845342,731.4389484,0.631241256
23/11/2021,BG-1494P,1954.400272,932576.2701,0,RAWA,LW,RAWA,Producer,409.0151407,102.2537852,1443.131346,0.738401118
23/11/2021,BG-1495P,1374.373848,641104.5391,0,RAWA,LW,RAWA,Producer,413.2061206,103.3015302,857.8661972,0.624186933
23/11/2021,BG-1498ST1P,1340.631973,596023.8047,0,RAWA,LW,RAWA,Producer,361.6928388,90.42320971,888.5159247,0.662759014
23/11/2021,BG-1499P,310.8970348,141943.8465,0,RAWA,LW,RAWA,Producer,199.9168465,49.97921163,61.00097666,0.19620958
23/11/2021,BG-1500P,828.0682802,385868.1133,0,RAWA,LW,RAWA,Producer,334.7890857,83.69727144,409.581923,0.49462337
23/11/2021,BG-1502P,1234.458662,591721.0704,0,RAWA,LW,RAWA,Producer,317.9567066,79.48917664,837.0127792,0.678040346
23/11/2021,BG-1508P,2009.90651,861987.2046,0,RAWA,LW,RAWA,Producer,434.7863454,108.6965863,1466.423578,0.729597905
23/11/2021,BG-1654P,445.840263,200541.0019,0,RAWA,RW,RAWA,Producer,217.6646534,54.41616336,173.7594462,0.389734756
23/11/2021,BG-1665P,1696.443331,701870.6406,0,RAWA,LW,RAWA,Producer,438.7186538,109.6796635,1148.045014,0.676736436
23/11/2021,BG-1679P,2035.005927,856943.3416,0,RAWA,LW,RAWA,Producer,429.0184392,107.2546098,1498.732878,0.736475928
23/11/2021,BG-1723P,2287.133634,1014019.132,0,RAWA,LW,RAWA,Producer,451.4334421,112.8583605,1722.841832,0.753275544
23/11/2021,BG-1728P,1168.896888,589329.1125,0,RAWA,LW,RAWA,Producer,329.0065045,82.25162612,757.6387579,0.648165604
23/11/2021,MG-0401P,1722.035977,723274.39,0,RAWA,LW,RAWA,Producer,458.7518729,114.6879682,1148.596136,0.666998919
22/11/2021,BG-0234P,543.1591186,283435.5614,0,RAWA,LW,RAWA,Producer,223.5244177,55.88110443,263.7535965,0.485591768
22/11/2021,BG-0241P,2118.988775,833066.8513,0,RAWA,LW,RAWA,Producer,474.2272789,118.5568197,1526.204676,0.720251421
22/11/2021,BG-0299P,342.6774338,176586.7224,0,RAWA,RW,RAWA,Producer,213.0288405,53.25721013,76.39138315,0.222925047
22/11/2021,BG-0732P,77.25149627,35910.37603,0,RAWA,LW,RAWA,Producer,61.80521427,15.45130357,-0.005021564,-6.50E-05
22/11/2021,BG-0757P,734.975025,300804.2298,0,RAWA,LW,RAWA,Producer,301.9206708,75.4801677,357.5741865,0.486512023
22/11/2021,BG-0861P,33.94867248,14605.75774,0,RAWA,LW,RAWA,Producer,27.15651719,6.789129297,0.00302599,8.91E-05
22/11/2021,BG-0862P,300.8094444,139948.2957,0,RAWA,LW,RAWA,Producer,165.1331537,41.28328842,94.39300234,0.313796671
22/11/2021,BG-0873ST1P,685.2868213,309035.7342,0,RAWA,LW,RAWA,Producer,252.8854319,63.22135798,369.1800315,0.538723378
22/11/2021,BG-0918P,899.2529709,387208.487,0,RAWA,RW,RAWA,Producer,331.1041501,82.77603754,485.3727832,0.539751103
22/11/2021,BG-1054P,2865.91994,1132591.356,0,RAWA,LW,RAWA,Producer,624.5849188,156.1462297,2085.188791,0.727580964
22/11/2021,BG-1236P,855.6179903,396686.9742,0,RAWA,RW,RAWA,Producer,286.4078026,71.60195064,497.6082371,0.581577576
22/11/2021,BG-1237P,207.0494701,100225.3226,0,RAWA,RW,RAWA,Producer,165.6671726,41.41679314,-0.034495631,-0.000166606
22/11/2021,BG-1240P,78.8180032,34732.1807,0,RAWA,RW,RAWA,Producer,63.04694387,15.76173597,0.00932336,0.00011829
22/11/2021,BG-1254P,590.5800651,262882.2135,0,RAWA,RW,RAWA,Producer,248.3498867,62.08747167,280.1427068,0.474351783
22/11/2021,BG-1259P,194.5293292,100984.1115,0,RAWA,RW,RAWA,Producer,136.623076,34.155769,23.7504842,0.122092048
22/11/2021,BG-1359P,1976.774384,802461.4496,0,RAWA,RW,RAWA,Producer,499.4014338,124.8503585,1352.522591,0.684206859
22/11/2021,BG-1362P,1320.396894,565611.7071,0,RAWA,RW,RAWA,Producer,378.4805343,94.62013357,847.2962257,0.641698136
22/11/2021,BG-1447P,549.8965202,234838.2698,0,RAWA,LW,RAWA,Producer,269.3513168,67.3378292,213.2073742,0.387722719
22/11/2021,BG-1490P,981.3512512,432915.9986,0,RAWA,LW,RAWA,Producer,352.2787032,88.06967581,541.0028722,0.551283622
22/11/2021,BG-1492P,1163.735171,560459.9072,0,RAWA,LW,RAWA,Producer,344.8712702,86.21781756,732.6460836,0.62956427
22/11/2021,BG-1494P,1956.669045,930716.4819,0,RAWA,LW,RAWA,Producer,411.2927296,102.8231824,1442.553133,0.737249427
22/11/2021,BG-1495P,1379.698043,639793.8115,0,RAWA,LW,RAWA,Producer,415.9752871,103.9938218,859.728934,0.623128328
22/11/2021,BG-1498ST1P,1345.561782,594732.2878,0,RAWA,LW,RAWA,Producer,364.2699581,91.06748953,890.2243346,0.66160049
22/11/2021,BG-1499P,310.371619,141646.327,0,RAWA,LW,RAWA,Producer,199.9057345,49.97643363,60.48945086,0.194893628
22/11/2021,BG-1500P,828.4982764,385090.6191,0,RAWA,LW,RAWA,Producer,335.2512203,83.81280507,409.434251,0.494188416
22/11/2021,BG-1502P,1236.071018,590565.723,0,RAWA,LW,RAWA,Producer,319.5528212,79.88820531,836.629991,0.676846216
22/11/2021,BG-1508P,2000.207815,860006.4,0,RAWA,LW,RAWA,Producer,435.0651945,108.7662986,1456.376322,0.728112505
22/11/2021,BG-1654P,449.551158,200107.1148,0,RAWA,RW,RAWA,Producer,220.0101582,55.00253955,174.5384602,0.388250496
22/11/2021,BG-1665P,1691.354535,700200.5763,0,RAWA,LW,RAWA,Producer,438.3261813,109.5815453,1143.446808,0.676053887
22/11/2021,BG-1679P,2040.5536,854987.2487,0,RAWA,LW,RAWA,Producer,431.3936079,107.848402,1501.31159,0.735737395
22/11/2021,BG-1723P,2304.02838,1011821.238,0,RAWA,LW,RAWA,Producer,456.5735977,114.1433994,1733.311383,0.752296021
22/11/2021,BG-1728P,1180.965259,588218.5117,0,RAWA,LW,RAWA,Producer,333.5670234,83.39175585,764.0064802,0.646933916
22/11/2021,MG-0401P,1726.820922,721615.3713,0,RAWA,LW,RAWA,Producer,461.6089081,115.402227,1149.809787,0.665853519
21/11/2021,BG-0234P,542.9622568,282917.4415,0,RAWA,LW,RAWA,Producer,223.4198348,55.8549587,263.6874633,0.485646028
21/11/2021,BG-0241P,2122.350126,830975.6466,0,RAWA,LW,RAWA,Producer,476.6272503,119.1568126,1526.566063,0.719280973
21/11/2021,BG-0299P,342.8389559,176257.3958,0,RAWA,RW,RAWA,Producer,213.325614,53.3314035,76.1819384,0.222209107
21/11/2021,BG-0732P,76.99571848,35835.05081,0,RAWA,LW,RAWA,Producer,61.59703299,15.39925825,-0.000572767,-7.44E-06
21/11/2021,BG-0757P,736.9715796,300087.0911,0,RAWA,LW,RAWA,Producer,302.5559942,75.63899856,358.7765869,0.486825539
21/11/2021,BG-0861P,33.73103449,14571.66242,0,RAWA,LW,RAWA,Producer,26.98659894,6.746649736,-0.002214186,-6.56E-05
21/11/2021,BG-0862P,299.374477,139654.7417,0,RAWA,LW,RAWA,Producer,164.5693604,41.14234011,93.66277643,0.312861595
21/11/2021,BG-0873ST1P,685.9693122,308374.167,0,RAWA,LW,RAWA,Producer,253.4056761,63.35141903,369.2122171,0.538234307
21/11/2021,BG-0918P,892.9820632,386287.8898,0,RAWA,RW,RAWA,Producer,329.0096835,82.25242087,481.7199588,0.539450879
21/11/2021,BG-1054P,2871.210007,1129794.891,0,RAWA,LW,RAWA,Producer,628.4591472,157.1147868,2085.636073,0.726396212
21/11/2021,BG-1236P,852.9552558,395824.7599,0,RAWA,RW,RAWA,Producer,286.0211438,71.50528594,495.4288261,0.580838001
21/11/2021,BG-1237P,206.9255027,100019.2813,0,RAWA,RW,RAWA,Producer,165.5196857,41.37992142,0.025895649,0.000125145
21/11/2021,BG-1240P,78.39132453,34651.35176,0,RAWA,RW,RAWA,Producer,62.7209653,15.68024133,-0.009882093,-0.000126061
21/11/2021,BG-1254P,587.6520237,262287.2697,0,RAWA,RW,RAWA,Producer,247.5509781,61.88774452,278.2133011,0.473432048
21/11/2021,BG-1259P,194.9822888,100800.2897,0,RAWA,RW,RAWA,Producer,137.1764969,34.29412422,23.51166767,0.120583607
21/11/2021,BG-1359P,1985.673665,800471.5852,0,RAWA,RW,RAWA,Producer,502.4495174,125.6123793,1357.611769,0.683703366
21/11/2021,BG-1362P,1323.434177,564336.8506,0,RAWA,RW,RAWA,Producer,380.1591512,95.03978781,848.2352384,0.640934965
21/11/2021,BG-1447P,547.1512799,234290.0691,0,RAWA,LW,RAWA,Producer,268.328372,67.082093,211.7408149,0.386987699
21/11/2021,BG-1490P,986.7486956,431974.285,0,RAWA,LW,RAWA,Producer,355.5438088,88.88595219,542.3189346,0.549601876
21/11/2021,BG-1492P,1173.446783,559397.7413,0,RAWA,LW,RAWA,Producer,348.6703061,87.16757654,737.6089004,0.628583171
21/11/2021,BG-1494P,1968.291206,928877.1317,0,RAWA,LW,RAWA,Producer,413.6283881,103.407097,1451.255721,0.737317586
21/11/2021,BG-1495P,1387.342329,638491.9491,0,RAWA,LW,RAWA,Producer,418.6325045,104.6581261,864.0516984,0.622810737
21/11/2021,BG-1498ST1P,1348.909663,593439.3691,0,RAWA,LW,RAWA,Producer,365.8926498,91.47316246,891.5438505,0.660936662
21/11/2021,BG-1499P,313.0503217,141354.2827,0,RAWA,LW,RAWA,Producer,201.749407,50.43735175,60.86356291,0.19442102
21/11/2021,BG-1500P,833.9550064,384323.9934,0,RAWA,LW,RAWA,Producer,337.6136933,84.40342331,411.9378898,0.493956972
21/11/2021,BG-1502P,1245.124794,589425.4909,0,RAWA,LW,RAWA,Producer,322.2299729,80.55749323,842.3373279,0.676508356
