DATE,NAME,LIQUID_VOLUME,SECTOR,ZONE,SUBZONE,WELL_TYPE,GAS_VOLUME,WATER_VOLUME,OIL_VOLUME,NOPRESSURE
03/12/2015,P1,1328.423584,1,WARA,WARA1,Producer,350.7038574,0,1328.423584,800
04/12/2015,P1,1170.204468,1,WARA,WARA1,Producer,308.9339905,0,1170.204468,800
05/12/2015,P1,1114.854126,1,WARA,WARA1,Producer,294.3215027,0,1114.854126,800
06/12/2015,P1,1077.022949,1,WARA,WARA1,Producer,284.3340759,0,1077.022949,800
07/12/2015,P1,1046.022095,1,WARA,WARA1,Producer,276.1498413,0,1046.022095,800
08/12/2015,P1,1019.200562,1,WARA,WARA1,Producer,269.0689392,0,1019.200562,800
09/12/2015,P1,995.6622314,1,WARA,WARA1,Producer,262.8548279,4.33203E-13,995.6622314,800
10/12/2015,P1,974.9671021,1,WARA,WARA1,Producer,257.3913269,1.12466E-12,974.9671021,800
11/12/2015,P1,956.8007202,1,WARA,WARA1,Producer,252.5953827,2.64349E-12,956.8007202,800
12/12/2015,P1,940.8895264,1,WARA,WARA1,Producer,248.3948364,5.74029E-12,940.8895264,800
13/12/2015,P1,926.9819336,1,WARA,WARA1,Producer,244.7232208,1.16836E-11,926.9819336,800
14/12/2015,P1,914.8455811,1,WARA,WARA1,Producer,241.5192261,2.2531E-11,914.8455811,800
15/12/2015,P1,904.2683105,1,WARA,WARA1,Producer,238.7268372,4.15062E-11,904.2683105,800
16/12/2015,P1,895.0585938,1,WARA,WARA1,Producer,236.2954712,7.35127E-11,895.0585938,800
17/12/2015,P1,887.0452271,1,WARA,WARA1,Producer,234.1799469,1.25822E-10,887.0452271,800
18/12/2015,P1,880.076355,1,WARA,WARA1,Producer,232.3401489,2.08974E-10,880.076355,800
19/12/2015,P1,874.0180054,1,WARA,WARA1,Producer,230.7407532,3.37948E-10,874.0180054,800
20/12/2015,P1,868.7526855,1,WARA,WARA1,Producer,229.350708,5.33651E-10,868.7526855,800
21/12/2015,P1,864.1773071,1,WARA,WARA1,Producer,228.1428223,8.24794E-10,864.1773071,800
22/12/2015,P1,860.2020874,1,WARA,WARA1,Producer,227.0933533,1.25023E-09,860.2020874,800
23/12/2015,P1,856.7485962,1,WARA,WARA1,Producer,226.1816254,1.86184E-09,856.7485962,800
24/12/2015,P1,853.7484131,1,WARA,WARA1,Producer,225.3895874,2.728E-09,853.7484131,800
25/12/2015,P1,851.1421509,1,WARA,WARA1,Producer,224.7015381,3.93788E-09,851.1421509,800
26/12/2015,P1,848.8781128,1,WARA,WARA1,Producer,224.1038208,5.60645E-09,848.8781128,800
27/12/2015,P1,846.9112549,1,WARA,WARA1,Producer,223.5845795,7.88052E-09,846.9112549,800
