DATE,NAME,LIQUID_VOLUME,CUMM,SECTOR,ZONE,SUBZONE,RESERVOIR,WELL_TYPE,OIL_VOLUME,GAS_VOLUME,WATER_VOLUME,WATER_FRACTION
2020-10-05,BG-0234P,0.0,677.5736351901533,0,RAWA,LW,RAWA,Producer,0.0,0.0,0.0,-0.0001090999188917
2020-10-06,BG-0234P,0.0,1375.0697137548946,0,RAWA,LW,RAWA,Producer,0.0,0.0,0.0,0.0001867100154981
2020-10-07,BG-0234P,170.31485135945064,2056.5641407485286,0,RAWA,LW,RAWA,Producer,134.85032019294826,33.712580048237065,1.7519511182653036,0.0102865434475106
2020-10-08,BG-0234P,205.47815986747452,2737.815933442641,0,RAWA,LW,RAWA,Producer,164.3915784002913,41.09789460007283,-0.0113131328895603,-5.50575929668482e-05
2020-10-09,BG-0234P,253.3482430403643,3466.0586370472656,0,RAWA,LW,RAWA,Producer,202.6728730553549,50.668218263838725,0.007151721170693,2.822881692356387e-05
2020-10-10,BG-0234P,294.6470335355261,4196.046154955373,0,RAWA,LW,RAWA,Producer,235.7451939943309,58.93629849858272,-0.0344589573874881,-0.0001169499552532
2020-10-11,BG-0234P,335.27595708471046,4946.181446781771,0,RAWA,LW,RAWA,Producer,268.23625035731874,67.05906258932968,-0.0193558619379202,-5.7731136184721486e-05
2020-10-12,BG-0234P,363.4725626766744,5679.221572370525,0,RAWA,LW,RAWA,Producer,290.74523651779344,72.68630912944836,0.0410170294325665,0.0001128476634673
2020-10-13,BG-0234P,401.1147596783553,6444.308426080536,0,RAWA,LW,RAWA,Producer,320.9272363090991,80.23180907727478,-0.0442857080185232,-0.0001104065780427
2020-10-14,BG-0234P,435.0171652035641,7205.852003019182,0,RAWA,LW,RAWA,Producer,348.0132437398352,87.00331093495879,0.0006105287701729,1.4034590333630512e-06
2020-10-15,BG-0234P,461.30204925138594,7953.87145087625,0,RAWA,LW,RAWA,Producer,369.0629991367498,92.26574978418743,-0.026699669551267,-5.787893115713665e-05
2020-10-16,BG-0234P,484.5381371858748,8691.593476095357,0,RAWA,LW,RAWA,Producer,387.000498415443,96.75012460386075,0.7875141665710075,0.0016252883026809
2020-10-17,BG-0234P,502.1258396330109,9414.39101232862,0,RAWA,LW,RAWA,Producer,399.5759338417666,99.89398346044165,2.655922330802696,0.0052893560163002
2020-10-18,BG-0234P,515.2709149373994,10128.07314382588,0,RAWA,LW,RAWA,Producer,412.2766843913988,103.0691710978497,-0.0749405518490422,-0.0001454391266352
2020-10-19,BG-0234P,533.5605468275492,10853.689972042252,0,RAWA,LW,RAWA,Producer,426.7699726842365,106.69249317105913,0.0980809722535693,0.0001838235095093
2020-10-20,BG-0234P,556.8235790544151,11590.706174124009,0,RAWA,LW,RAWA,Producer,445.3763583444264,111.3440895861066,0.1031311238820737,0.0001852132843533
2020-10-21,BG-0234P,571.8153726885731,12306.650574955018,0,RAWA,LW,RAWA,Producer,457.533650135163,114.38341253379076,-0.1016899803806068,-0.0001778370873495
2020-10-22,BG-0234P,581.6843580370297,13000.010656111115,0,RAWA,LW,RAWA,Producer,465.36525613288734,116.34131403322183,-0.022212129079416,-3.818587997513605e-05
2020-10-23,BG-0234P,592.1485066985086,13679.913318736708,0,RAWA,LW,RAWA,Producer,473.6474812748132,118.4118703187033,0.0891551049922283,0.0001505620701288
2020-10-24,BG-0234P,593.6841517795738,14323.9150775972,0,RAWA,LW,RAWA,Producer,474.6236973560327,118.65592433900818,0.4045300845328952,0.0006813893942095
2020-10-25,BG-0234P,594.4105944518196,14954.15653394691,0,RAWA,LW,RAWA,Producer,474.3392962546686,118.58482406366716,1.486474133483854,0.0025007530945082
2020-10-26,BG-0234P,592.8332045436098,15569.699101418028,0,RAWA,LW,RAWA,Producer,470.3019133612438,117.57547834031097,4.955812842055046,0.0083595399246745
2020-10-27,BG-0234P,593.6153903324947,16187.058797774376,0,RAWA,LW,RAWA,Producer,474.0162967295262,118.50407418238154,1.0950194205870611,0.0018446614397475
2020-10-28,BG-0234P,597.1401161901492,16809.399634978745,0,RAWA,LW,RAWA,Producer,475.145132790193,118.78628319754824,3.208700202408117,0.0053734460563127
2020-10-29,BG-0234P,599.3848176309394,17430.113974538497,0,RAWA,LW,RAWA,Producer,478.64077655220456,119.66019413805114,1.083846940683735,0.0018082655896551
2020-10-30,BG-0234P,601.7716113668234,18048.1184034376,0,RAWA,LW,RAWA,Producer,478.7101122135782,119.67752805339455,3.3839710998506787,0.0056233478547858
2020-10-31,BG-0234P,604.4109447106391,18668.73113782412,0,RAWA,LW,RAWA,Producer,480.19918937004127,120.04979734251032,4.161957998087583,0.0068859739131297
2020-11-01,BG-0234P,596.2643483155408,19263.925175267577,0,RAWA,LW,RAWA,Producer,474.2043382645932,118.5510845661483,3.508925484799294,0.0058848487163656
2020-11-02,BG-0234P,602.4772737251728,19895.629731106823,0,RAWA,LW,RAWA,Producer,479.20478767328,119.80119691832,3.4712891335728444,0.0057616930711917
2020-11-03,BG-0234P,605.7192817026269,20521.0318495416,0,RAWA,LW,RAWA,Producer,481.9707171349785,120.49267928374462,3.255885283903813,0.0053752379728639
