DATE,NAME,WATER_INJECTION_VOLUME,SECTOR,ZONE,SUBZONE,RESERVOIR,WELL_TYPE
2020-10-05,BG-0604I,1847.877033276912,0,RAWA,LW,RAWA,Injector
2020-10-06,BG-0604I,1852.7905003351093,0,RAWA,LW,RAWA,Injector
2020-10-07,BG-0604I,884.5010897714919,0,RAWA,LW,RAWA,Injector
2020-10-08,BG-0604I,1908.171862443964,0,RAWA,LW,RAWA,Injector
2020-10-09,BG-0604I,1793.9936861205,0,RAWA,LW,RAWA,Injector
2020-10-10,BG-0604I,1715.0984069101255,0,RAWA,LW,RAWA,Injector
2020-10-11,BG-0604I,1751.359993717502,0,RAWA,LW,RAWA,Injector
2020-10-12,BG-0604I,1607.7767559914694,0,RAWA,LW,RAWA,Injector
2020-10-13,BG-0604I,1691.080897644802,0,RAWA,LW,RAWA,Injector
2020-10-14,BG-0604I,1735.186011892739,0,RAWA,LW,RAWA,Injector
2020-10-15,BG-0604I,1739.59513373056,0,RAWA,LW,RAWA,Injector
2020-10-16,BG-0604I,1447.7831796662083,0,RAWA,LW,RAWA,Injector
2020-10-17,BG-0604I,1155.971225601857,0,RAWA,LW,RAWA,Injector
2020-10-18,BG-0604I,1590.6253935873349,0,RAWA,LW,RAWA,Injector
2020-10-19,BG-0604I,1685.9264447588064,0,RAWA,LW,RAWA,Injector
2020-10-20,BG-0604I,1976.8335154646013,0,RAWA,LW,RAWA,Injector
2020-10-21,BG-0604I,1712.8742616498537,0,RAWA,LW,RAWA,Injector
2020-10-22,BG-0604I,1675.3486004355864,0,RAWA,LW,RAWA,Injector
2020-10-23,BG-0604I,1757.8526866121515,0,RAWA,LW,RAWA,Injector
2020-10-24,BG-0604I,1718.499967103357,0,RAWA,LW,RAWA,Injector
2020-10-25,BG-0604I,1652.0713943406963,0,RAWA,LW,RAWA,Injector
2020-10-26,BG-0604I,1585.6428215780356,0,RAWA,LW,RAWA,Injector
2020-10-27,BG-0604I,1889.609019165021,0,RAWA,LW,RAWA,Injector
2020-10-28,BG-0604I,1592.3583148935118,0,RAWA,LW,RAWA,Injector
2020-10-29,BG-0604I,1824.7701907373412,0,RAWA,LW,RAWA,Injector
2020-10-30,BG-0604I,1660.146593933954,0,RAWA,LW,RAWA,Injector
2020-10-31,BG-0604I,1558.257485833512,0,RAWA,LW,RAWA,Injector
2020-11-01,BG-0604I,1644.571678776937,0,RAWA,LW,RAWA,Injector
2020-11-02,BG-0604I,1639.1011404586125,0,RAWA,LW,RAWA,Injector
2020-11-03,BG-0604I,1662.2571653869786,0,RAWA,LW,RAWA,Injector
2020-11-04,BG-0604I,1597.4197373809775,0,RAWA,LW,RAWA,Injector
2020-11-05,BG-0604I,1620.99639150705,0,RAWA,LW,RAWA,Injector
2020-11-06,BG-0604I,1633.6107324571776,0,RAWA,LW,RAWA,Injector
2020-11-07,BG-0604I,1625.1949002527945,0,RAWA,LW,RAWA,Injector
2020-11-08,BG-0604I,1601.7620529294145,0,RAWA,LW,RAWA,Injector
2020-11-09,BG-0604I,1528.149483184662,0,RAWA,LW,RAWA,Injector
2020-11-10,BG-0604I,1431.8758439068854,0,RAWA,LW,RAWA,Injector
2020-11-11,BG-0604I,1573.5656615719313,0,RAWA,LW,RAWA,Injector
2020-11-12,BG-0604I,1038.8124565575995,0,RAWA,LW,RAWA,Injector
2020-11-13,BG-0604I,1126.41594295785,0,RAWA,LW,RAWA,Injector
2020-11-14,BG-0604I,1096.432149671537,0,RAWA,LW,RAWA,Injector
2020-11-15,BG-0604I,815.0106362413243,0,RAWA,LW,RAWA,Injector
2020-11-16,BG-0604I,1004.4272771554382,0,RAWA,LW,RAWA,Injector
2020-11-17,BG-0604I,898.5586510203674,0,RAWA,LW,RAWA,Injector
2020-11-18,BG-0604I,898.9455521503872,0,RAWA,LW,RAWA,Injector
2020-11-19,BG-0604I,898.1754465279959,0,RAWA,LW,RAWA,Injector
2020-11-20,BG-0604I,1308.955278826831,0,RAWA,LW,RAWA,Injector
2020-11-21,BG-0604I,1453.3229060951728,0,RAWA,LW,RAWA,Injector
2020-11-22,BG-0604I,1411.7425083500702,0,RAWA,LW,RAWA,Injector
2020-11-23,BG-0604I,1417.1324756258198,0,RAWA,LW,RAWA,Injector
