NAME,X,Y,SECTOR,ZONE,SUBZONE,WELL_TYPE,LAT,LONG,RESERVOIR
BG-0234P,413883.22,3206716.67,0,RAWA,LW,Producer,28.88488102,47.91072151,RAWA
BG-0241P,416975.21,3203439.21,0,RAWA,LW,Producer,28.85464904,47.94155731,RAWA
BG-0299P,426880.37,3216281.52,0,RAWA,LW,Producer,28.9681484,48.04635394,RAWA
BG-0604I,417596,3199947,0,RAWA,LW,Injector,28.82303065,47.9470257,RAWA
BG-0710I,409707.38,3217781.61,0,RAWA,LW,Injector,28.98554585,47.87069995,RAWA
BG-0711I,410500.22,3218677.2,0,RAWA,LW,Injector,28.99344527,47.87905238,RAWA
BG-0718I,410872.8,3221635.87,0,RAWA,LW,Injector,29.02003424,47.88361352,RAWA
BG-0720I,411467.61,3223735.79,0,RAWA,LW,Injector,29.03883261,47.89024142,RAWA
BG-0721I,411959.99,3206009.94,0,RAWA,LW,Injector,28.87893451,47.8908464,RAWA
BG-0722I,413967.46,3205285.77,0,RAWA,LW,Injector,28.87196361,47.91122438,RAWA
BG-0725I,417995.17,3199032.6,0,RAWA,LW,Injector,28.81469871,47.95087899,RAWA
BG-0732P,409599.62,3222052.19,0,RAWA,LW,Producer,29.02406701,47.87065973,RAWA
BG-0739I,416148.81,3201622.25,0,RAWA,LW,Injector,28.83845488,47.93263587,RAWA
BG-0754I,411998.4,3227460.27,0,RAWA,LW,Injector,29.0722889,47.8966249,RAWA
BG-0756I,414691.21,3204789.82,0,RAWA,LW,Injector,28.86733252,47.91851129,RAWA
BG-0757P,414878.83,3203179.63,0,RAWA,LW,Producer,28.852776,47.92002664,RAWA
BG-0758I,415493.6,3202437.6,0,RAWA,LW,Injector,28.84595052,47.92613392,RAWA
BG-0759I,416856.15,3200639.02,0,RAWA,LW,Injector,28.82943403,47.939628,RAWA
BG-0772I,425789.65,3209063.44,0,RAWA,LW,Injector,28.90334224,48.03327806,RAWA
BG-0833I,428751.12,3214179.41,0,RAWA,LW,Injector,28.94876598,48.06496895,RAWA
BG-0834I,428230.77,3212017.99,0,RAWA,LW,Injector,28.92940625,48.05906408,RAWA
BG-0861P,409974.84,3220023.8,0,RAWA,LW,Producer,29.00569964,47.87400154,RAWA
BG-0862P,410290.5,3220915,0,RAWA,LW,Producer,29.01366408,47.87746125,RAWA
BG-0873ST1P,411642,3220275,0,RAWA,LW,Producer,29.00759712,47.89116043,RAWA
BG-0918P,425517.08,3210706.9,0,RAWA,LW,Producer,28.91821832,48.03091704,RAWA
BG-1054P,416569.8,3203853.8,0,RAWA,LW,Producer,28.85847682,47.93751141,RAWA
BG-1139I,422461.3788,3207993.799,0,RAWA,LW,Injector,28.89446486,47.99890853,RAWA
BG-1143I,424334.74,3211659.155,0,RAWA,LW,Injector,28.92707379,48.01905334,RAWA
BG-1145I,424283.905,3214106.655,0,RAWA,LW,Injector,28.94914596,48.01917247,RAWA
BG-1204I,416877.7191,3204297.771,0,RAWA,LW,Injector,28.86241009,47.94077706,RAWA
BG-1206I,415925.5873,3203819.389,0,RAWA,LW,Injector,28.8583103,47.93090627,RAWA
BG-1219I,425162.5044,3211957.753,0,RAWA,LW,Injector,28.92957457,48.0276124,RAWA
BG-1236P,424991.923,3213453.464,0,RAWA,LW,Producer,28.94309536,48.02625667,RAWA
BG-1237P,425583.2033,3213483.292,0,RAWA,LW,Producer,28.94322772,48.03232332,RAWA
BG-1240P,425654.4407,3214519.064,0,RAWA,LW,Producer,28.95254703,48.0333255,RAWA
BG-1254P,428337.777,3216183.224,0,RAWA,LW,Producer,28.96692303,48.06126504,RAWA
BG-1259P,427193.62,3214232.309,0,RAWA,LW,Producer,28.94960565,48.04902284,RAWA
BG-1262I,427063.87,3215367.79,0,RAWA,LW,Injector,28.95987012,48.04799319,RAWA
BG-1263I,428212.5921,3216847.052,0,RAWA,LW,Injector,28.97293539,48.06015819,RAWA
BG-1264I,427743.167,3216973.965,0,RAWA,LW,Injector,28.97418876,48.0553804,RAWA
BG-1280I,422007.24,3215981.77,0,RAWA,LW,Injector,28.96656944,47.99632874,RAWA
BG-1294I,425671.8733,3211369.353,0,RAWA,LW,Injector,28.92415353,48.03267669,RAWA
BG-1297I,412473,3223377,0,RAWA,LW,Injector,29.03537586,47.90046382,RAWA
BG-1298I,412599,3222750,0,RAWA,LW,Injector,29.02969596,47.90159803,RAWA
BG-1354I,424316.0575,3208062.147,0,RAWA,LW,Injector,28.89465639,48.01792261,RAWA
BG-1358I,423704.3375,3208371.059,0,RAWA,LW,Injector,28.89758111,48.01173762,RAWA
BG-1359P,423060.5875,3208539.896,0,RAWA,LW,Producer,28.89925032,48.00518777,RAWA
BG-1360I,423457.9908,3208803.198,0,RAWA,LW,Injector,28.90153267,48.00932683,RAWA
BG-1362P,423639.103,3209758.717,0,RAWA,LW,Producer,28.91010384,48.01143086,RAWA
BG-1422I,424151.0479,3210373.193,0,RAWA,LW,Injector,28.91552498,48.01683552,RAWA
